property,seed,basis,arm,realization,init,epochs,baseline,corrected,delta,probe_r2_mean,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,2,primary,random,1,2,19,0.09219367,0.09230534,0.0001116693,-0.01621246337890625,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068,0.09230534,,,,0.104586005,0.1868304
dipole,2,primary,random,2,0,16,0.09219367,0.09237817,0.00018449873,-0.019476771354675293,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067973,0.09237817,,,,0.10488763,0.18697657
dipole,2,primary,random,2,1,16,0.09219367,0.092277445,8.377433e-05,-0.015351533889770508,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506796,0.092277445,,,,0.104512125,0.18678609
dipole,2,primary,random,2,2,17,0.09219367,0.0923374,0.00014372915,-0.017724037170410156,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068016,0.0923374,,,,0.10472989,0.1868975
dipole,2,primary,random,3,0,16,0.09219367,0.0923741,0.00018043071,-0.01921868324279785,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068035,0.0923741,,,,0.104861476,0.18696605
dipole,2,primary,random,3,1,16,0.09219367,0.09229325,9.957701e-05,-0.015827059745788574,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068035,0.09229325,,,,0.1045533,0.18681043
dipole,2,primary,random,3,2,18,0.09219367,0.09231696,0.00012329221,-0.01657581329345703,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067983,0.09231696,,,,0.104629405,0.18685116
dipole,2,primary,random,4,0,16,0.09219367,0.09237867,0.00018499792,-0.01949620246887207,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506802,0.09237867,,,,0.104881026,0.1869775
dipole,2,primary,random,4,1,16,0.09219367,0.0922861,9.24319e-05,-0.015577435493469238,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506797,0.0922861,,,,0.10453283,0.18679835
dipole,2,primary,random,4,2,17,0.09219367,0.09233398,0.00014030933,-0.017540693283081055,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506804,0.09233398,,,,0.10470971,0.18688974
dipole,2,primary,shuffled,0,0,20,0.09219367,0.09225686,6.3188374e-05,-0.014127135276794434,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5068026,0.09225686,,,,0.10440907,0.18673946
dipole,2,primary,shuffled,0,1,25,0.09219367,0.09229251,9.88394e-05,-0.015689373016357422,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506793,0.09229251,,,,0.10454048,0.18680704
dipole,2,primary,shuffled,0,2,20,0.09219367,0.092306666,0.000112995505,-0.016431808471679688,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506795,0.092306666,,,,0.10460597,0.18683754
dipole,2,primary,shuffled,1,0,27,0.09219367,0.09230416,0.00011049211,-0.016102075576782227,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067964,0.09230416,,,,0.104587324,0.1868334
dipole,2,primary,shuffled,1,1,19,0.09219367,0.092298254,0.0001045838,-0.01605701446533203,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067973,0.092298254,,,,0.104571156,0.18682007
dipole,2,primary,shuffled,1,2,17,0.09219367,0.09232312,0.00012944639,-0.017210960388183594,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.5067983,0.09232312,,,,0.104675956,0.18687212
dipole,2,primary,shuffled,2,0,19,0.09219367,0.09226679,7.312e-05,-0.014832854270935059,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.506794,0.09226679,,,,0.10446309,0.18676409
