property,seed,basis,arm,realization,alpha,baseline,corrected,delta,probe_r2_mean,coef_mae_mean,spearman_mean,frac_small,cond_median,cond_frac_gt_1e6,sens_delta,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,2,secondary,shuffled,1,1e-06,0.09219367,0.10521014469277401,0.013016474121923638,-9.010770703891484e-05,1.525029197875532,0.0024832048305586433,0.006648116116417237,34716.52468385787,0.2010077461081447,,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.772863140783387,0.10521014469277401,,,,0.12715467084510385,0.21346141002277483
dipole,2,secondary,shuffled,2,1000000.0,0.09219367,0.09259618983400028,0.0004025192631499086,-9.346795831681003e-05,1.5228604693505847,-0.007847577623644362,0.006648116116417237,34716.52468385787,0.2010077461081447,,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.51473202278618,0.09259618983400028,,,,0.1048086090657754,0.18741574235647016
dipole,2,secondary,shuffled,3,1000000.0,0.09219367,0.09276735020834137,0.000573679637490998,-7.188967890410976e-05,1.5226513517259057,-0.0001822282106297204,0.006648116116417237,34716.52468385787,0.2010077461081447,,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.511210845238881,0.09276735020834137,,,,0.10560602848033937,0.18776537447478536
dipole,2,secondary,shuffled,4,1000000.0,0.09219367,0.09274022572455458,0.0005465551537042063,-7.64162046185864e-05,1.522656736026214,-0.005914076913758173,0.006648116116417237,34716.52468385787,0.2010077461081447,,,4.506803,0.09219367,,,,0.104156874,0.18661891,,4.513572567064945,0.09274022572455458,,,,0.10545524766626359,0.18771570869022672
dipole,3,primary,null,0,,0.09526028,0.09526028,0.0,,,,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826242,0.09526028,,,,0.106382206,0.1933459
dipole,3,primary,tda,0,10000.0,0.09526028,0.09526123250518559,9.55114705547544e-07,-0.007828359747068747,0.10592891499755185,0.02365947569918005,0.006482665262841242,1.0,0.0,-9.742944185966995e-05,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262496462246895,0.09526123250518559,,,,0.10638402131053624,0.19333614099136384
dipole,3,primary,random,0,1000000.0,0.09526028,0.09516462247062404,-9.56549198559975e-05,-0.0028425188343486063,0.10570052198781221,-0.005054963492690719,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262496458351825,0.09516462247062404,,,,0.10590990260175209,0.19316547099739373
dipole,3,primary,random,1,10000.0,0.09526028,0.09516741487564999,-9.28625148300527e-05,-0.002911554170976993,0.10571011292692838,0.001042890228479768,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826249645841313,0.09516741487564999,,,,0.10592205770398273,0.19317077641505248
dipole,3,primary,random,2,1000000.0,0.09526028,0.09516466507780388,-9.561231267615766e-05,-0.0028344431970797057,0.10570084716724039,0.0003115281062790141,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.826249645833354,0.09516466507780388,,,,0.10591048742935752,0.1931655150610891
dipole,3,primary,random,3,100000.0,0.09526028,0.09516599298280667,-9.428440767336732e-05,-0.0028215822597217333,0.10570141927956409,0.0037369309832354213,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262496458412425,0.09516599298280667,,,,0.1059114040673889,0.19316510263372758
dipole,3,primary,random,4,1000000.0,0.09526028,0.09516450971062558,-9.5767679854461e-05,-0.002841508463159448,0.10570028420679004,4.18928751422596e-05,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262496458346815,0.09516450971062558,,,,0.10590952289467162,0.19316528828094845
dipole,3,primary,shuffled,0,1000000.0,0.09526028,0.09516546734635274,-9.481004412729976e-05,-0.002874071245608123,0.10570255686936432,0.0003982827237745213,0.006482665262841242,1.0,0.0,,,4.826242,0.09526028,,,,0.106382206,0.1933459,,4.8262496458375415,0.09516546734635274,,,,0.10591511469357559,0.19316690753742488
